Altersgruppe, Meldedatum, difference, trend, value
>=80, 2020-03-05, , , 
>=80, 2020-03-06, , , 600
>=80, 2020-03-07, , , 1300
>=80, 2020-03-08, , , 1600
>=80, 2020-03-09, , , 1800
>=80, 2020-03-10, , , 1200
>=80, 2020-03-11, , , 1900
>=80, 2020-03-12, 683.3, 4.3823, 683.3
>=80, 2020-03-13, 185.7, 1.191, 785.7
>=80, 2020-03-14, -807.1, -8.1724, 492.9
>=80, 2020-03-15, -1082.4, -10.959, 517.6
>=80, 2020-03-16, -1189.5, -12.0436, 610.5
>=80, 2020-03-17, -619.2, -6.2698, 580.8
>=80, 2020-03-18, -1362.5, -13.7955, 537.5
>=80, 2020-03-19, -66.3, -0.6714, 617
>=80, 2020-03-20, -172.8, -1.7497, 612.9
>=80, 2020-03-21, 104.7, 0.6717, 597.6
>=80, 2020-03-22, 52.8, 0.3388, 570.5
>=80, 2020-03-23, -126.8, -1.2841, 483.7
>=80, 2020-03-24, -159.9, -1.6187, 420.9
>=80, 2020-03-25, -199.5, -2.0196, 338
>=80, 2020-03-26, -314.6, -3.1859, 302.4
>=80, 2020-03-27, -340.3, -3.4454, 272.6
>=80, 2020-03-28, -356.5, -3.6095, 241.1
>=80, 2020-03-29, -347.6, -3.5196, 222.9
>=80, 2020-03-30, -274.3, -2.7775, 209.4
>=80, 2020-03-31, -228.1, -2.3092, 192.8
>=80, 2020-04-01, -161, -1.6297, 177.1
>=80, 2020-04-02, -143.3, -1.451, 159.1
>=80, 2020-04-03, -132.6, -1.3427, 140
>=80, 2020-04-04, -120.8, -1.2231, 120.3
>=80, 2020-04-05, -125.5, -1.2704, 97.4
>=80, 2020-04-06, -121.3, -1.2285, 88.1
>=80, 2020-04-07, -118.7, -1.2022, 74.1
>=80, 2020-04-08, -123.8, -1.2538, 53.2
>=80, 2020-04-09, -122.6, -1.2417, 36.4
>=80, 2020-04-10, -121.1, -1.2266, 18.9
>=80, 2020-04-11, -119.5, -1.2099, 0.8
>=80, 2020-04-12, -100.9, -1.0212, -3.5
>=80, 2020-04-13, -92.5, -0.9365, -4.4
>=80, 2020-04-14, -85.1, -0.8617, -11
>=80, 2020-04-15, -70.2, -0.7108, -17
>=80, 2020-04-16, -58.6, -0.5928, -22.1
>=80, 2020-04-17, -45.9, -0.4643, -27
>=80, 2020-04-18, -25.5, -0.2577, -24.6
>=80, 2020-04-19, -25, -0.253, -28.4
>=80, 2020-04-20, -28.3, -0.2863, -32.7
>=80, 2020-04-21, -19.3, -0.195, -30.3
>=80, 2020-04-22, -12.1, -0.1222, -29
>=80, 2020-04-23, -8.2, -0.0834, -30.4
>=80, 2020-04-24, 0.7, 0.0046, -26.3
>=80, 2020-04-25, -4.4, -0.0449, -29.1
>=80, 2020-04-26, 0.7, 0.0045, -27.7
>=80, 2020-04-27, 3.3, 0.0212, -29.4
>=80, 2020-04-28, -4.9, -0.0493, -35.1
>=80, 2020-04-29, -8.3, -0.0835, -37.3
>=80, 2020-04-30, -9.4, -0.095, -39.7
>=80, 2020-05-01, -18.2, -0.1843, -44.5
>=80, 2020-05-02, -15.8, -0.1596, -44.8
>=80, 2020-05-03, -20.8, -0.2109, -48.6
>=80, 2020-05-04, -19.7, -0.1993, -49.1
>=80, 2020-05-05, -11.1, -0.1129, -46.3
>=80, 2020-05-06, -10, -0.1012, -47.3
>=80, 2020-05-07, -3.9, -0.039, -43.6
>=80, 2020-05-08, 1.3, 0.0081, -43.2
