Meldedatum, difference, trend, value
2020-03-05, , , 0.8
2020-03-06, , , 1.1
2020-03-07, , , 1.2
2020-03-08, , , 1.3
2020-03-09, , , 1.3
2020-03-10, , , 1.7
2020-03-11, , , 2.4
2020-03-12, 2.3, 0.0273, 3.1
2020-03-13, 2.8, 0.0332, 3.9
2020-03-14, 4.4, 0.0517, 5.5
2020-03-15, 5.8, 0.0688, 7.1
2020-03-16, 7, 0.0825, 8.3
2020-03-17, 8.8, 0.1047, 10.6
2020-03-18, 11.6, 0.1381, 14
2020-03-19, 15, 0.1784, 18.2
2020-03-20, 18.9, 0.224, 22.8
2020-03-21, 21.2, 0.2513, 26.7
2020-03-22, 22.6, 0.2685, 29.8
2020-03-23, 23.2, 0.2753, 31.5
2020-03-24, 23.2, 0.2756, 33.8
2020-03-25, 22.2, 0.2627, 36.2
2020-03-26, 20.2, 0.2398, 38.4
2020-03-27, 17.7, 0.21, 40.5
2020-03-28, 15.6, 0.1854, 42.4
2020-03-29, 13.9, 0.1646, 43.7
2020-03-30, 13.1, 0.1552, 44.6
2020-03-31, 10.8, 0.1284, 44.6
2020-04-01, 9, 0.1071, 45.2
2020-04-02, 7.1, 0.0838, 45.4
2020-04-03, 5, 0.059, 45.5
2020-04-04, 2.8, 0.0331, 45.1
2020-04-05, 0.4, 0.0043, 44
2020-04-06, -1.6, -0.0231, 43
2020-04-07, -2.3, -0.0322, 42.4
2020-04-08, -3.9, -0.0559, 41.3
2020-04-09, -5.5, -0.0779, 40
2020-04-10, -7.2, -0.1026, 38.2
2020-04-11, -10.1, -0.1441, 35
2020-04-12, -10.4, -0.1482, 33.6
2020-04-13, -10.2, -0.1455, 32.8
2020-04-14, -12.2, -0.1735, 30.2
2020-04-15, -14.3, -0.203, 27
2020-04-16, -15.1, -0.2143, 24.9
2020-04-17, -14.9, -0.2113, 23.4
2020-04-18, -11.3, -0.1611, 23.7
2020-04-19, -10.6, -0.1513, 22.9
2020-04-20, -10.3, -0.1463, 22.5
2020-04-21, -7.5, -0.1064, 22.7
2020-04-22, -4.4, -0.0623, 22.6
2020-04-23, -2.7, -0.0388, 22.2
2020-04-24, -3.1, -0.0446, 20.2
2020-04-25, -4.8, -0.0686, 18.8
2020-04-26, -5.2, -0.0745, 17.7
2020-04-27, -5.4, -0.0774, 17
2020-04-28, -6, -0.0858, 16.7
2020-04-29, -6.8, -0.0966, 15.8
2020-04-30, -7.8, -0.1103, 14.4
2020-05-01, -6.5, -0.0928, 13.7
2020-05-02, -6.8, -0.0972, 12
2020-05-03, -6.5, -0.0919, 11.2
2020-05-04, -6, -0.0856, 11
2020-05-05, -6.2, -0.0883, 10.4
2020-05-06, -6, -0.0846, 9.9
2020-05-07, -4.9, -0.0696, 9.5
2020-05-08, -4.5, -0.0634, 9.3
2020-05-09, -2.5, -0.0361, 9.5
2020-05-10, -1.7, -0.0241, 9.5
2020-05-11, -1.7, -0.0244, 9.3
2020-05-12, -1.2, -0.0167, 9.3
2020-05-13, -1, -0.0141, 8.9
2020-05-14, -1, -0.0146, 8.5
2020-05-15, -1.6, -0.0222, 7.7
2020-05-16, -2, -0.029, 7.4
2020-05-17, -2.4, -0.0335, 7.2
2020-05-18, -2, -0.0289, 7.3
2020-05-19, -2.2, -0.0311, 7.1
2020-05-20, -1.9, -0.0271, 7
2020-05-21, -1.5, -0.0208, 7
2020-05-22, -1, -0.0148, 6.7
2020-05-23, -1.1, -0.0152, 6.4
2020-05-24, -1.1, -0.0154, 6.1
2020-05-25, -1.4, -0.0195, 5.9
2020-05-26, -1.5, -0.022, 5.5
2020-05-27, -1.6, -0.0231, 5.4
2020-05-28, -1.8, -0.0255, 5.2
2020-05-29, -1.3, -0.0178, 5.4
2020-05-30, -1.2, -0.0166, 5.2
2020-05-31, -0.7, -0.0094, 5.4
2020-06-01, -0.5, -0.007, 5.4
2020-06-02, -0.5, -0.0071, 5
2020-06-03, -0.7, -0.0104, 4.6
2020-06-04, -0.8, -0.0115, 4.4
2020-06-05, -0.9, -0.0126, 4.5
2020-06-06, -0.6, -0.008, 4.6
2020-06-07, -1.1, -0.015, 4.4
2020-06-08, -1.1, -0.0159, 4.3
2020-06-09, -0.5, -0.0069, 4.6
2020-06-10, 0.2, 0.0026, 4.9
2020-06-11, 0.4, 0.0051, 4.8
2020-06-12, -0.2, -0.0031, 4.3
2020-06-13, -0.5, -0.0066, 4.2
2020-06-14, -0.2, -0.0022, 4.2
2020-06-15, 0.1, 0.0007, 4.3
2020-06-16, -0.4, -0.005, 4.2
2020-06-17, -0.5, -0.0077, 4.3
2020-06-18, , -0.0003, 4.8
2020-06-19, 1.5, 0.0174, 5.8
