Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Thüringen, 16, , 
2020-03-06, , Thüringen, 16, , 
2020-03-07, , Thüringen, 16, , 
2020-03-08, , Thüringen, 16, , 0.1
2020-03-09, , Thüringen, 16, , 0.1
2020-03-10, , Thüringen, 16, , 
2020-03-11, , Thüringen, 16, , 0.5
2020-03-12, 0.5, Thüringen, 16, 0.0056, 0.5
2020-03-13, 1, Thüringen, 16, 0.0119, 1
2020-03-14, 1.5, Thüringen, 16, 0.0175, 1.5
2020-03-15, 2.2, Thüringen, 16, 0.0266, 2.3
2020-03-16, 2.2, Thüringen, 16, 0.0271, 2.3
2020-03-17, 3.1, Thüringen, 16, 0.0379, 3.2
2020-03-18, 3.7, Thüringen, 16, 0.0452, 4.2
2020-03-19, 5.4, Thüringen, 16, 0.065, 5.9
2020-03-20, 6.9, Thüringen, 16, 0.0831, 7.9
2020-03-21, 9.6, Thüringen, 16, 0.1153, 11.1
2020-03-22, 9.7, Thüringen, 16, 0.1164, 12
2020-03-23, 10.8, Thüringen, 16, 0.1305, 13.2
2020-03-24, 11.6, Thüringen, 16, 0.1395, 14.8
2020-03-25, 12.5, Thüringen, 16, 0.1503, 16.7
2020-03-26, 12.7, Thüringen, 16, 0.1537, 18.7
2020-03-27, 11.7, Thüringen, 16, 0.1407, 19.6
2020-03-28, 8.3, Thüringen, 16, 0.1006, 19.4
2020-03-29, 8.9, Thüringen, 16, 0.1073, 20.9
2020-03-30, 7.4, Thüringen, 16, 0.0887, 20.5
2020-03-31, 5, Thüringen, 16, 0.0599, 19.7
2020-04-01, 3.4, Thüringen, 16, 0.0407, 20.1
2020-04-02, 0.4, Thüringen, 16, 0.0045, 19
2020-04-03, -0.1, Thüringen, 16, -0.0017, 19.5
2020-04-04, -0.1, Thüringen, 16, -0.0011, 19.3
2020-04-05, -2.4, Thüringen, 16, -0.0288, 18.4
2020-04-06, -1.2, Thüringen, 16, -0.0138, 19.4
2020-04-07, -0.7, Thüringen, 16, -0.0083, 19
2020-04-08, -1.4, Thüringen, 16, -0.0166, 18.7
2020-04-09, , Thüringen, 16, 0.0006, 19.1
2020-04-10, -1.1, Thüringen, 16, -0.0127, 18.4
2020-04-11, -3, Thüringen, 16, -0.0354, 16.3
2020-04-12, -3.1, Thüringen, 16, -0.0371, 15.3
2020-04-13, -4.5, Thüringen, 16, -0.0526, 14.9
2020-04-14, -4.5, Thüringen, 16, -0.0526, 14.6
2020-04-15, -5.3, Thüringen, 16, -0.0625, 13.4
2020-04-16, -6.9, Thüringen, 16, -0.0814, 12.2
2020-04-17, -5.6, Thüringen, 16, -0.0659, 12.8
2020-04-18, -3.1, Thüringen, 16, -0.0365, 13.2
2020-04-19, -1.1, Thüringen, 16, -0.0133, 14.2
2020-04-20, -1.5, Thüringen, 16, -0.0177, 13.4
2020-04-21, -0.4, Thüringen, 16, -0.005, 14.2
2020-04-22, 2.2, Thüringen, 16, 0.0266, 15.6
2020-04-23, 4.1, Thüringen, 16, 0.0492, 16.3
2020-04-24, 2.8, Thüringen, 16, 0.0333, 15.6
2020-04-25, 2.9, Thüringen, 16, 0.0345, 16.1
2020-04-26, 0.9, Thüringen, 16, 0.0107, 15
2020-04-27, 1.9, Thüringen, 16, 0.0226, 15.3
2020-04-28, 0.7, Thüringen, 16, 0.0085, 14.9
2020-04-29, -0.6, Thüringen, 16, -0.0072, 15
2020-04-30, -1.9, Thüringen, 16, -0.0227, 14.3
2020-05-01, -1.5, Thüringen, 16, -0.0177, 14.1
2020-05-02, -3.5, Thüringen, 16, -0.0415, 12.6
2020-05-03, -2.7, Thüringen, 16, -0.0315, 12.4
2020-05-04, -3.8, Thüringen, 16, -0.0454, 11.4
2020-05-05, -3.3, Thüringen, 16, -0.0393, 11.5
2020-05-06, -5.1, Thüringen, 16, -0.0603, 9.8
2020-05-07, -4.4, Thüringen, 16, -0.052, 9.9
2020-05-08, -4.7, Thüringen, 16, -0.0553, 9.4
2020-05-09, -2.6, Thüringen, 16, -0.031, 9.9
2020-05-10, -2, Thüringen, 16, -0.0232, 10.4
2020-05-11, -0.7, Thüringen, 16, -0.0083, 10.7
2020-05-12, -0.7, Thüringen, 16, -0.0089, 10.8
2020-05-13, 0.3, Thüringen, 16, 0.004, 10.2
2020-05-14, -1.1, Thüringen, 16, -0.0133, 8.8
2020-05-15, -1.6, Thüringen, 16, -0.0188, 7.8
2020-05-16, -2.4, Thüringen, 16, -0.0282, 7.5
2020-05-17, -3.2, Thüringen, 16, -0.0376, 7.2
2020-05-18, -3.5, Thüringen, 16, -0.041, 7.3
2020-05-19, -4.5, Thüringen, 16, -0.0526, 6.3
2020-05-20, -3.6, Thüringen, 16, -0.0421, 6.6
2020-05-21, -2, Thüringen, 16, -0.0232, 6.8
2020-05-22, -1.2, Thüringen, 16, -0.0144, 6.6
2020-05-23, -1.1, Thüringen, 16, -0.0133, 6.4
2020-05-24, -1.3, Thüringen, 16, -0.0149, 6
2020-05-25, -1.2, Thüringen, 16, -0.0144, 6
2020-05-26, , Thüringen, 16, 0.0006, 6.4
2020-05-27, -0.1, Thüringen, 16, -0.0017, 6.5
2020-05-28, -0.2, Thüringen, 16, -0.0028, 6.6
2020-05-29, 0.8, Thüringen, 16, 0.0096, 7.4
2020-05-30, 0.8, Thüringen, 16, 0.0096, 7.2
2020-05-31, 1.2, Thüringen, 16, 0.0147, 7.2
2020-06-01, 0.9, Thüringen, 16, 0.0113, 7
2020-06-02, -0.1, Thüringen, 16, -0.0017, 6.2
2020-06-03, -1.7, Thüringen, 16, -0.0205, 4.7
2020-06-04, -2.1, Thüringen, 16, -0.0243, 4.5
2020-06-05, -3.7, Thüringen, 16, -0.0443, 3.6
2020-06-06, -3.4, Thüringen, 16, -0.0398, 3.8
2020-06-07, -3.7, Thüringen, 16, -0.0432, 3.5
2020-06-08, -3.5, Thüringen, 16, -0.0415, 3.5
2020-06-09, -2.6, Thüringen, 16, -0.0304, 3.7
2020-06-10, -0.7, Thüringen, 16, -0.0083, 4
2020-06-11, -0.4, Thüringen, 16, -0.005, 4.1
2020-06-12, 0.7, Thüringen, 16, 0.0079, 4.3
2020-06-13, -0.1, Thüringen, 16, -0.0017, 3.7
