Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Sachsen, 14, , 
2020-03-07, , Sachsen, 14, , 0.0246
2020-03-08, , Sachsen, 14, , 0.0246
2020-03-09, , Sachsen, 14, , 0.0491
2020-03-10, , Sachsen, 14, , 0.0737
2020-03-11, , Sachsen, 14, , 0.1228
2020-03-12, , Sachsen, 14, , 0.221
2020-03-13, 0.2456, Sachsen, 14, 0.0398, 0.2456
2020-03-14, 0.3193, Sachsen, 14, 0.0518, 0.3438
2020-03-15, 0.3438, Sachsen, 14, 0.0558, 0.3684
2020-03-16, 0.3438, Sachsen, 14, 0.0558, 0.3929
2020-03-17, 0.3438, Sachsen, 14, 0.0558, 0.4175
2020-03-18, 0.3684, Sachsen, 14, 0.0598, 0.4912
2020-03-19, 0.4666, Sachsen, 14, 0.0757, 0.6876
2020-03-20, 0.7122, Sachsen, 14, 0.1155, 0.9578
2020-03-21, 0.7122, Sachsen, 14, 0.1155, 1.056
2020-03-22, 0.9332, Sachsen, 14, 0.1514, 1.3016
2020-03-23, 0.9578, Sachsen, 14, 0.1554, 1.3507
2020-03-24, 1.2279, Sachsen, 14, 0.1992, 1.6454
2020-03-25, 1.6945, Sachsen, 14, 0.2749, 2.1857
2020-03-26, 1.8173, Sachsen, 14, 0.2948, 2.5049
2020-03-27, 1.9647, Sachsen, 14, 0.3187, 2.9224
2020-03-28, 2.3821, Sachsen, 14, 0.3865, 3.4381
2020-03-29, 2.5295, Sachsen, 14, 0.4104, 3.8311
2020-03-30, 2.7505, Sachsen, 14, 0.4462, 4.1012
2020-03-31, 2.947, Sachsen, 14, 0.4781, 4.5924
2020-04-01, 2.6768, Sachsen, 14, 0.4343, 4.8625
2020-04-02, 2.3576, Sachsen, 14, 0.3825, 4.8625
2020-04-03, 2.2348, Sachsen, 14, 0.3625, 5.1572
2020-04-04, 2.0138, Sachsen, 14, 0.3267, 5.4519
2020-04-05, 1.6208, Sachsen, 14, 0.2629, 5.4519
2020-04-06, 1.2279, Sachsen, 14, 0.1992, 5.3291
2020-04-07, 0.3684, Sachsen, 14, 0.0598, 4.9607
2020-04-08, -0.3929, Sachsen, 14, -0.0401, 4.4696
2020-04-09, -0.4666, Sachsen, 14, -0.0476, 4.3959
2020-04-10, -1.498, Sachsen, 14, -0.1529, 3.6592
2020-04-11, -2.3085, Sachsen, 14, -0.2356, 3.1434
2020-04-12, -2.5049, Sachsen, 14, -0.2556, 2.947
2020-04-13, -2.2839, Sachsen, 14, -0.2331, 3.0452
2020-04-14, -2.112, Sachsen, 14, -0.2155, 2.8487
2020-04-15, -1.7927, Sachsen, 14, -0.183, 2.6768
2020-04-16, -1.891, Sachsen, 14, -0.193, 2.5049
2020-04-17, -0.9578, Sachsen, 14, -0.0977, 2.7014
2020-04-18, -0.7613, Sachsen, 14, -0.0777, 2.3821
2020-04-19, -0.8841, Sachsen, 14, -0.0902, 2.0629
2020-04-20, -1.2279, Sachsen, 14, -0.1253, 1.8173
2020-04-21, -1.1051, Sachsen, 14, -0.1128, 1.7436
2020-04-22, -0.9578, Sachsen, 14, -0.0977, 1.7191
2020-04-23, -0.9087, Sachsen, 14, -0.0927, 1.5963
2020-04-24, -1.3753, Sachsen, 14, -0.1404, 1.3261
2020-04-25, -1.1542, Sachsen, 14, -0.1178, 1.2279
2020-04-26, -0.9087, Sachsen, 14, -0.0927, 1.1542
2020-04-27, -0.7122, Sachsen, 14, -0.0727, 1.1051
2020-04-28, -0.7613, Sachsen, 14, -0.0777, 0.9823
2020-04-29, -0.835, Sachsen, 14, -0.0852, 0.8841
2020-04-30, -0.7859, Sachsen, 14, -0.0802, 0.8104
2020-05-01, -0.5648, Sachsen, 14, -0.0576, 0.7613
2020-05-02, -0.4666, Sachsen, 14, -0.0476, 0.7613
2020-05-03, -0.3438, Sachsen, 14, -0.0351, 0.8104
2020-05-04, -0.3193, Sachsen, 14, -0.0326, 0.7859
2020-05-05, -0.2456, Sachsen, 14, -0.0251, 0.7367
2020-05-06, 0.1719, Sachsen, 14, 0.0279, 1.056
2020-05-07, 0.2701, Sachsen, 14, 0.0438, 1.0806
2020-05-08, 0.3438, Sachsen, 14, 0.0558, 1.1051
2020-05-09, 0.3193, Sachsen, 14, 0.0518, 1.0806
2020-05-10, 0.3193, Sachsen, 14, 0.0518, 1.1297
2020-05-11, 0.3684, Sachsen, 14, 0.0598, 1.1542
2020-05-12, 0.5157, Sachsen, 14, 0.0837, 1.2525
2020-05-13, -0.1965, Sachsen, 14, -0.0201, 0.8595
2020-05-14, -0.2701, Sachsen, 14, -0.0276, 0.8104
2020-05-15, -0.3193, Sachsen, 14, -0.0326, 0.7859
2020-05-16, -0.2947, Sachsen, 14, -0.0301, 0.7859
2020-05-17, -0.4175, Sachsen, 14, -0.0426, 0.7122
2020-05-18, -0.4666, Sachsen, 14, -0.0476, 0.6876
2020-05-19, -0.6385, Sachsen, 14, -0.0652, 0.614
2020-05-20, -0.221, Sachsen, 14, -0.0226, 0.6385
2020-05-21, -0.2456, Sachsen, 14, -0.0251, 0.5648
2020-05-22, -0.3193, Sachsen, 14, -0.0326, 0.4666
2020-05-23, -0.3684, Sachsen, 14, -0.0376, 0.4175
2020-05-24, -0.3929, Sachsen, 14, -0.0401, 0.3193
2020-05-25, -0.3193, Sachsen, 14, -0.0326, 0.3684
2020-05-26, -0.1719, Sachsen, 14, -0.0175, 0.442
2020-05-27, -0.2456, Sachsen, 14, -0.0251, 0.3929
2020-05-28, -0.1719, Sachsen, 14, -0.0175, 0.3929
2020-05-29, -0.0982, Sachsen, 14, -0.01, 0.3684
2020-05-30, -0.0737, Sachsen, 14, -0.0075, 0.3438
2020-05-31, 0.0246, Sachsen, 14, 0.004, 0.3438
2020-06-01, -0.0982, Sachsen, 14, -0.01, 0.2701
2020-06-02, -0.2947, Sachsen, 14, -0.0301, 0.1473
2020-06-03, -0.2947, Sachsen, 14, -0.0301, 0.0982
2020-06-04, -0.2456, Sachsen, 14, -0.0251, 0.1473
2020-06-05, -0.221, Sachsen, 14, -0.0226, 0.1473
2020-06-06, -0.1965, Sachsen, 14, -0.0201, 0.1473
2020-06-07, -0.1965, Sachsen, 14, -0.0201, 0.1473
2020-06-08, -0.1228, Sachsen, 14, -0.0125, 0.1473
2020-06-09, 0.0491, Sachsen, 14, 0.008, 0.1965
2020-06-10, 0.1228, Sachsen, 14, 0.0199, 0.221
2020-06-11, -0.0491, Sachsen, 14, -0.005, 0.0982
2020-06-12, -0.0737, Sachsen, 14, -0.0075, 0.0737
2020-06-13, -0.0737, Sachsen, 14, -0.0075, 0.0737
2020-06-14, -0.0737, Sachsen, 14, -0.0075, 0.0737
2020-06-15, -0.0737, Sachsen, 14, -0.0075, 0.0737
2020-06-16, -0.1719, Sachsen, 14, -0.0175, 0.0246
2020-06-17, -0.221, Sachsen, 14, -0.0226, 
2020-06-18, -0.0982, Sachsen, 14, -0.01, 
2020-06-19, -0.0491, Sachsen, 14, -0.005, 0.0246
2020-06-20, -0.0491, Sachsen, 14, -0.005, 0.0246
2020-06-21, -0.0491, Sachsen, 14, -0.005, 0.0246
2020-06-22, , Sachsen, 14, , 0.0737
2020-06-23, 0.0491, Sachsen, 14, 0.008, 0.0737
2020-06-24, 0.1228, Sachsen, 14, 0.0199, 0.1228
2020-06-25, 0.1473, Sachsen, 14, 0.0239, 0.1473
2020-06-26, 0.0982, Sachsen, 14, 0.0159, 0.1228
2020-06-27, 0.0982, Sachsen, 14, 0.0159, 0.1228
2020-06-28, 0.0982, Sachsen, 14, 0.0159, 0.1228
2020-06-29, 0.0246, Sachsen, 14, 0.004, 0.0982
2020-06-30, 0.0246, Sachsen, 14, 0.004, 0.0982
2020-07-01, -0.0737, Sachsen, 14, -0.0075, 0.0491
2020-07-02, -0.1228, Sachsen, 14, -0.0125, 0.0246
