Week, difference, region, region_id, trend, value
2020-14, , Bremen, 4, , 0.5872
2020-15, 0.734, Bremen, 4, 0.3571, 1.3212
2020-16, 0.1468, Bremen, 4, 0.0714, 1.468
2020-17, -1.1744, Bremen, 4, -0.5333, 0.2936
2020-18, 0.1468, Bremen, 4, 0.0714, 0.4404
2020-19, -0.1468, Bremen, 4, -0.0667, 0.2936
2020-20, 0.4404, Bremen, 4, 0.2143, 0.734
2020-21, -0.1468, Bremen, 4, -0.0667, 0.5872
2020-22, -0.4404, Bremen, 4, -0.2, 0.1468
2020-23, 0.1468, Bremen, 4, 0.0714, 0.2936
2020-24, , Bremen, 4, , 0.2936
2020-25, 0.1468, Bremen, 4, 0.0714, 0.4404
2020-26, -0.2936, Bremen, 4, -0.1333, 0.1468
2020-27, 0.2936, Bremen, 4, 0.1429, 0.4404
2020-28, -0.1468, Bremen, 4, -0.0667, 0.2936
2020-29, -0.2936, Bremen, 4, -0.1333, 
2020-30, , Bremen, 4, , 
2020-31, 0.1468, Bremen, 4, 0.0714, 0.1468
2020-32, -0.1468, Bremen, 4, -0.0667, 
2020-33, , Bremen, 4, , 
2020-34, , Bremen, 4, , 
2020-35, , Bremen, 4, , 
2020-36, 0.2936, Bremen, 4, 0.1429, 0.2936
2020-37, -0.2936, Bremen, 4, -0.1333, 
2020-38, 0.1468, Bremen, 4, 0.0714, 0.1468
2020-39, -0.1468, Bremen, 4, -0.0667, 
2020-40, , Bremen, 4, , 
2020-41, 0.1468, Bremen, 4, 0.0714, 0.1468
2020-42, 0.2936, Bremen, 4, 0.1429, 0.4404
2020-43, -0.2936, Bremen, 4, -0.1333, 0.1468
2020-44, 1.0276, Bremen, 4, 0.5, 1.1744
2020-45, 0.8808, Bremen, 4, 0.4286, 2.0552
2020-46, -0.8808, Bremen, 4, -0.4, 1.1744
2020-47, 0.5872, Bremen, 4, 0.2857, 1.7616
2020-48, -0.2936, Bremen, 4, -0.1333, 1.468
2020-49, 1.468, Bremen, 4, 0.7143, 2.936
2020-50, -0.2936, Bremen, 4, -0.1333, 2.6424
2020-51, -0.5872, Bremen, 4, -0.2667, 2.0552
2020-52, , Bremen, 4, , 2.0552
2020-53, 0.8808, Bremen, 4, 0.4286, 2.936
2021-01, , Bremen, 4, , 2.936
2021-02, -1.6148, Bremen, 4, -0.7333, 1.3212
2021-03, 1.6148, Bremen, 4, 0.7857, 2.936
2021-04, -0.4404, Bremen, 4, -0.2, 2.4956
2021-05, 0.1468, Bremen, 4, 0.0714, 2.6424
2021-06, 0.8808, Bremen, 4, 0.4286, 3.5232
2021-07, -1.1744, Bremen, 4, -0.5333, 2.3488
2021-08, -0.4404, Bremen, 4, -0.2, 1.9084
2021-09, 2.0552, Bremen, 4, 1, 3.9636
2021-10, -2.202, Bremen, 4, -1, 1.7616
2021-11, 0.2936, Bremen, 4, 0.1429, 2.0552
2021-12, -0.734, Bremen, 4, -0.3333, 1.3212
2021-13, -0.5872, Bremen, 4, -0.2667, 0.734
2021-14, 1.3212, Bremen, 4, 0.6429, 2.0552
2021-15, 0.1468, Bremen, 4, 0.0714, 2.202
2021-16, -0.8808, Bremen, 4, -0.4, 1.3212
2021-17, 0.1468, Bremen, 4, 0.0714, 1.468
2021-18, -0.4404, Bremen, 4, -0.2, 1.0276
2021-19, , Bremen, 4, , 1.0276
2021-20, -0.5872, Bremen, 4, -0.2667, 0.4404
2021-21, -0.1468, Bremen, 4, -0.0667, 0.2936
2021-22, , Bremen, 4, , 0.2936
2021-23, 0.1468, Bremen, 4, 0.0714, 0.4404
2021-24, 0.2936, Bremen, 4, 0.1429, 0.734
2021-25, -0.734, Bremen, 4, -0.3333, 
2021-26, 0.734, Bremen, 4, 0.3571, 0.734
2021-27, -0.734, Bremen, 4, -0.3333, 
2021-28, 0.1468, Bremen, 4, 0.0714, 0.1468
2021-29, 0.4404, Bremen, 4, 0.2143, 0.5872
2021-30, -0.5872, Bremen, 4, -0.2667, 
2021-31, , Bremen, 4, , 
2021-32, 0.1468, Bremen, 4, 0.0714, 0.1468
