Meldedatum, region, region_id, value, difference, trend
2020-03-05, Saarland, 10, 0.2, , 
2020-03-06, Saarland, 10, 0.1, , 
2020-03-07, Saarland, 10, , , 
2020-03-08, Saarland, 10, , , 
2020-03-09, Saarland, 10, 0.1, , 
2020-03-10, Saarland, 10, 0.6, , 
2020-03-11, Saarland, 10, 0.8, , 
2020-03-12, Saarland, 10, 1.8, , 
2020-03-13, Saarland, 10, 3.2, , 
2020-03-14, Saarland, 10, 4.9, , 
2020-03-15, Saarland, 10, 6.1, , 
2020-03-16, Saarland, 10, 7.7, 3.0488, 0.0312
2020-03-17, Saarland, 10, 9.7, 6.7074, 0.0686
2020-03-18, Saarland, 10, 11.8, 7.5204, 0.0769
2020-03-19, Saarland, 10, 15, 7.4188, 0.0759
2020-03-20, Saarland, 10, 18.2, 8.7399, 0.0894
2020-03-21, Saarland, 10, 20.2, 11.7887, 0.1206
2020-03-22, Saarland, 10, 22.9, 10.3659, 0.106
2020-03-23, Saarland, 10, 25.8, 10.0611, 0.1029
2020-03-24, Saarland, 10, 29.4, 17.175, 0.1757
2020-03-25, Saarland, 10, 30.4, 20.5286, 0.21
2020-03-26, Saarland, 10, 31.1, 19.614, 0.2006
2020-03-27, Saarland, 10, 33.6, 19.3091, 0.1975
2020-03-28, Saarland, 10, 36.3, 17.3782, 0.1778
2020-03-29, Saarland, 10, 39, 15.7522, 0.1611
2020-03-30, Saarland, 10, 42.2, 26.2198, 0.2682
2020-03-31, Saarland, 10, 42.9, 17.0733, 0.1746
2020-04-01, Saarland, 10, 52.8, 14.3294, 0.1466
2020-04-02, Saarland, 10, 58.9, 29.5734, 0.3025
2020-04-03, Saarland, 10, 69.2, 25.0002, 0.2557
2020-04-04, Saarland, 10, 69.9, 36.2808, 0.3711
2020-04-05, Saarland, 10, 77.2, 41.667, 0.4262
2020-04-06, Saarland, 10, 78.2, 36.5857, 0.3742
2020-04-07, Saarland, 10, 79.1, 32.8255, 0.3358
2020-04-08, Saarland, 10, 73.4, 29.0653, 0.2973
2020-04-09, Saarland, 10, 77.8, 7.8253, 0.08
2020-04-10, Saarland, 10, 74.1, 7.622, 0.078
2020-04-11, Saarland, 10, 76.2, 4.37, 0.0447
2020-04-12, Saarland, 10, 64.3, -6.809, -0.0868
2020-04-13, Saarland, 10, 57.8, -19.0042, -0.2422
2020-04-14, Saarland, 10, 52.9, -21.6465, -0.2759
2020-04-15, Saarland, 10, 48.1, -25.3051, -0.3225
2020-04-16, Saarland, 10, 37.4, -28.1507, -0.3588
2020-04-17, Saarland, 10, 28.8, -34.7564, -0.443
2020-04-18, Saarland, 10, 22.7, -49.8988, -0.636
2020-04-19, Saarland, 10, 23.4, -41.9719, -0.535
2020-04-20, Saarland, 10, 21.3, -35.6711, -0.4547
2020-04-21, Saarland, 10, 20.2, -32.9271, -0.4197
2020-04-22, Saarland, 10, 21.1, -26.423, -0.3368
2020-04-23, Saarland, 10, 20.8, -19.2075, -0.2448
2020-04-24, Saarland, 10, 18, -11.179, -0.1425
2020-04-25, Saarland, 10, 17.1, -6.0976, -0.0777
2020-04-26, Saarland, 10, 15.8, -6.6058, -0.0842
2020-04-27, Saarland, 10, 17.3, -4.0651, -0.0518
2020-04-28, Saarland, 10, 16.2, -3.3537, -0.0427
2020-04-29, Saarland, 10, 13.2, -7.622, -0.0972
2020-04-30, Saarland, 10, 11.4, -5.5895, -0.0712
2020-05-01, Saarland, 10, 11.7, -4.5732, -0.0583
2020-05-02, Saarland, 10, 10.7, -4.37, -0.0557
2020-05-03, Saarland, 10, 9.9, -3.6586, -0.0466
2020-05-04, Saarland, 10, 8.5, -6.7074, -0.0855
2020-05-05, Saarland, 10, 8.5, -4.8781, -0.0622
2020-05-06, Saarland, 10, 8.4, -3.1504, -0.0402
2020-05-07, Saarland, 10, 6.6, -3.4553, -0.044
2020-05-08, Saarland, 10, 5.4, -6.7074, -0.0855
2020-05-09, Saarland, 10, 4.7, -7.0123, -0.0894
2020-05-10, Saarland, 10, 4.5, -6.7074, -0.0855
2020-05-11, Saarland, 10, 4.1, -5.4879, -0.0699
2020-05-12, Saarland, 10, 3.8, -7.0123, -0.0894
2020-05-13, Saarland, 10, 3.9, -5.996, -0.0764
2020-05-14, Saarland, 10, 3.8, -5.7927, -0.0738
2020-05-15, Saarland, 10, 3.6, -3.5569, -0.0453
2020-05-16, Saarland, 10, 3.5, -2.6423, -0.0337
2020-05-17, Saarland, 10, 3.3, -1.9309, -0.0246
2020-05-18, Saarland, 10, 3.3, -1.7277, -0.022
2020-05-19, Saarland, 10, 3.4, -0.7114, -0.0091
2020-05-20, Saarland, 10, 3, -0.4065, -0.0052
2020-05-21, Saarland, 10, 2.4, -0.3049, -0.0039
2020-05-22, Saarland, 10, 1.8, -0.9146, -0.0117
2020-05-23, Saarland, 10, 1.7, -1.1179, -0.0142
2020-05-24, Saarland, 10, 1.9, -1.5244, -0.0194
2020-05-25, Saarland, 10, 2, -1.2195, -0.0155
2020-05-26, Saarland, 10, 2, -1.2195, -0.0155
2020-05-27, Saarland, 10, 2, -1.0163, -0.013
2020-05-28, Saarland, 10, 2.2, -0.7114, -0.0091
2020-05-29, Saarland, 10, 2.3, , 
2020-05-30, Saarland, 10, 2.5, 0.6098, 0.0062
2020-05-31, Saarland, 10, 2.2, 0.3049, 0.0031
2020-06-01, Saarland, 10, 2.2, -0.1016, -0.0013
2020-06-02, Saarland, 10, 2.6, -0.1016, -0.0013
2020-06-03, Saarland, 10, 2.4, 0.2033, 0.0021
2020-06-04, Saarland, 10, 2.3, 0.1016, 0.001
2020-06-05, Saarland, 10, 2, -0.1016, -0.0013
2020-06-06, Saarland, 10, 1.9, -0.813, -0.0104
2020-06-07, Saarland, 10, 2.3, 0.1016, 0.001
2020-06-08, Saarland, 10, 2.3, 0.2033, 0.0021
2020-06-09, Saarland, 10, 2.5, 0.1016, 0.001
2020-06-10, Saarland, 10, 3, 0.6098, 0.0062
2020-06-11, Saarland, 10, 3.3, 0.813, 0.0083
2020-06-12, Saarland, 10, 3.2, 1.2195, 0.0125
2020-06-13, Saarland, 10, 2.8, 1.1179, 0.0114
2020-06-14, Saarland, 10, 2.4, 0.2033, 0.0021
2020-06-15, Saarland, 10, 2.3, 0.1016, 0.001
2020-06-16, Saarland, 10, 1.4, -0.7114, -0.0091
2020-06-17, Saarland, 10, 0.8, -2.1342, -0.0272
2020-06-18, Saarland, 10, 0.5, -2.2358, -0.0285
2020-06-19, Saarland, 10, 0.7, -2.3374, -0.0298
2020-06-20, Saarland, 10, 0.7, -1.8293, -0.0233
2020-06-21, Saarland, 10, 0.7, -1.4228, -0.0181
2020-06-22, Saarland, 10, 0.7, -1.3212, -0.0168
2020-06-23, Saarland, 10, 0.8, -0.6098, -0.0078
2020-06-24, Saarland, 10, 0.7, -0.1016, -0.0013
2020-06-25, Saarland, 10, 0.6, -0.1016, -0.0013
2020-06-26, Saarland, 10, 0.5, -0.3049, -0.0039
2020-06-27, Saarland, 10, 0.6, -0.5081, -0.0065
