Altersgruppe, Meldedatum, difference, trend, value
0-4, 2020-03-05, , , 0.1
0-4, 2020-03-06, , , 0.2
0-4, 2020-03-07, , , 0.2
0-4, 2020-03-08, , , 0.2
0-4, 2020-03-09, , , 0.2
0-4, 2020-03-10, , , 0.3
0-4, 2020-03-11, , , 0.4
0-4, 2020-03-12, 0.4, 0.0128, 0.5
0-4, 2020-03-13, 0.3, 0.0083, 0.5
0-4, 2020-03-14, 0.3, 0.0098, 0.5
0-4, 2020-03-15, 0.6, 0.0188, 0.8
0-4, 2020-03-16, 0.7, 0.0211, 0.9
0-4, 2020-03-17, 0.8, 0.0226, 1.1
0-4, 2020-03-18, 1.1, 0.0316, 1.4
0-4, 2020-03-19, 1.5, 0.0459, 2
0-4, 2020-03-20, 2.1, 0.064, 2.6
0-4, 2020-03-21, 2.7, 0.0805, 3.2
0-4, 2020-03-22, 2.8, 0.0828, 3.6
0-4, 2020-03-23, 3, 0.088, 3.9
0-4, 2020-03-24, 3.4, 0.1008, 4.4
0-4, 2020-03-25, 3.7, 0.1114, 5.1
0-4, 2020-03-26, 3.1, 0.091, 5.1
0-4, 2020-03-27, 3, 0.0903, 5.7
0-4, 2020-03-28, 2.9, 0.0865, 6.1
0-4, 2020-03-29, 2.9, 0.0858, 6.5
0-4, 2020-03-30, 2.7, 0.079, 6.5
0-4, 2020-03-31, 1.9, 0.0557, 6.3
0-4, 2020-04-01, 1.1, 0.0339, 6.3
0-4, 2020-04-02, 1.9, 0.0579, 7
0-4, 2020-04-03, 1.3, 0.0399, 7
0-4, 2020-04-04, 1, 0.0301, 7.1
0-4, 2020-04-05, 0.4, 0.0113, 6.8
0-4, 2020-04-06, 0.4, 0.0113, 6.9
0-4, 2020-04-07, 0.8, 0.0233, 7.1
0-4, 2020-04-08, 1.3, 0.0376, 7.5
0-4, 2020-04-09, 0.1, 0.0038, 7.2
0-4, 2020-04-10, -0.4, -0.0101, 6.6
0-4, 2020-04-11, -0.9, -0.0244, 6.3
0-4, 2020-04-12, -0.4, -0.0108, 6.5
0-4, 2020-04-13, -0.9, -0.0244, 6.1
0-4, 2020-04-14, -1.4, -0.0409, 5.7
