Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Rheinland-Pfalz, 7, , 0.2
2020-03-06, , Rheinland-Pfalz, 7, , 0.2
2020-03-07, , Rheinland-Pfalz, 7, , 0.2
2020-03-08, , Rheinland-Pfalz, 7, , 0.2
2020-03-09, , Rheinland-Pfalz, 7, , 0.3
2020-03-10, , Rheinland-Pfalz, 7, , 0.5
2020-03-11, , Rheinland-Pfalz, 7, , 0.9
2020-03-12, 1.3, Rheinland-Pfalz, 7, 0.0306, 1.5
2020-03-13, 2.8, Rheinland-Pfalz, 7, 0.0656, 3
2020-03-14, 4.2, Rheinland-Pfalz, 7, 0.0968, 4.4
2020-03-15, 5.3, Rheinland-Pfalz, 7, 0.1239, 5.6
2020-03-16, 7.5, Rheinland-Pfalz, 7, 0.1743, 7.8
2020-03-17, 10.3, Rheinland-Pfalz, 7, 0.2383, 10.7
2020-03-18, 13.6, Rheinland-Pfalz, 7, 0.3147, 14.4
2020-03-19, 16, Rheinland-Pfalz, 7, 0.3718, 17.5
2020-03-20, 16.2, Rheinland-Pfalz, 7, 0.3763, 19.3
2020-03-21, 17.9, Rheinland-Pfalz, 7, 0.4137, 22.3
2020-03-22, 18.2, Rheinland-Pfalz, 7, 0.4222, 23.8
2020-03-23, 17.1, Rheinland-Pfalz, 7, 0.3967, 25
2020-03-24, 16, Rheinland-Pfalz, 7, 0.3696, 26.7
2020-03-25, 13.2, Rheinland-Pfalz, 7, 0.305, 27.6
2020-03-26, 10.4, Rheinland-Pfalz, 7, 0.2405, 27.9
2020-03-27, 10.6, Rheinland-Pfalz, 7, 0.2456, 29.9
2020-03-28, 9.8, Rheinland-Pfalz, 7, 0.2275, 32.1
2020-03-29, 9.5, Rheinland-Pfalz, 7, 0.2196, 33.3
2020-03-30, 8.3, Rheinland-Pfalz, 7, 0.193, 33.3
2020-03-31, 5.3, Rheinland-Pfalz, 7, 0.1228, 32
2020-04-01, 4.3, Rheinland-Pfalz, 7, 0.0996, 31.9
2020-04-02, 6, Rheinland-Pfalz, 7, 0.1387, 33.9
2020-04-03, 3.4, Rheinland-Pfalz, 7, 0.0787, 33.3
2020-04-04, -0.2, Rheinland-Pfalz, 7, -0.0029, 31.9
2020-04-05, -2, Rheinland-Pfalz, 7, -0.0338, 31.3
2020-04-06, -2.9, Rheinland-Pfalz, 7, -0.049, 30.4
2020-04-07, -1.7, Rheinland-Pfalz, 7, -0.0292, 30.3
2020-04-08, -2.1, Rheinland-Pfalz, 7, -0.0362, 29.8
2020-04-09, -6.1, Rheinland-Pfalz, 7, -0.103, 27.8
2020-04-10, -6.3, Rheinland-Pfalz, 7, -0.1058, 27
2020-04-11, -6.9, Rheinland-Pfalz, 7, -0.117, 25
2020-04-12, -7.9, Rheinland-Pfalz, 7, -0.1326, 23.4
2020-04-13, -7.9, Rheinland-Pfalz, 7, -0.1339, 22.4
2020-04-14, -9.4, Rheinland-Pfalz, 7, -0.1586, 20.9
2020-04-15, -10.8, Rheinland-Pfalz, 7, -0.1829, 18.9
2020-04-16, -10.2, Rheinland-Pfalz, 7, -0.1717, 17.6
2020-04-17, -10.4, Rheinland-Pfalz, 7, -0.1746, 16.6
2020-04-18, -8.4, Rheinland-Pfalz, 7, -0.1413, 16.6
2020-04-19, -6.6, Rheinland-Pfalz, 7, -0.1112, 16.8
2020-04-20, -6.6, Rheinland-Pfalz, 7, -0.1108, 15.9
2020-04-21, -5.9, Rheinland-Pfalz, 7, -0.0993, 15
2020-04-22, -4.9, Rheinland-Pfalz, 7, -0.0824, 14
2020-04-23, -4.4, Rheinland-Pfalz, 7, -0.0745, 13.2
2020-04-24, -4.9, Rheinland-Pfalz, 7, -0.0832, 11.7
2020-04-25, -6.5, Rheinland-Pfalz, 7, -0.11, 10.1
2020-04-26, -8.2, Rheinland-Pfalz, 7, -0.1376, 8.7
2020-04-27, -7.1, Rheinland-Pfalz, 7, -0.1199, 8.8
2020-04-28, -6.1, Rheinland-Pfalz, 7, -0.1021, 8.9
2020-04-29, -5.8, Rheinland-Pfalz, 7, -0.0984, 8.2
2020-04-30, -5.6, Rheinland-Pfalz, 7, -0.0943, 7.6
2020-05-01, -4.3, Rheinland-Pfalz, 7, -0.0729, 7.4
2020-05-02, -3.2, Rheinland-Pfalz, 7, -0.0548, 6.8
2020-05-03, -2.1, Rheinland-Pfalz, 7, -0.0354, 6.6
2020-05-04, -2.9, Rheinland-Pfalz, 7, -0.0494, 5.8
2020-05-05, -3.4, Rheinland-Pfalz, 7, -0.0577, 5.5
2020-05-06, -2.7, Rheinland-Pfalz, 7, -0.0449, 5.5
2020-05-07, -2.8, Rheinland-Pfalz, 7, -0.0478, 4.8
2020-05-08, -2.8, Rheinland-Pfalz, 7, -0.0478, 4.5
2020-05-09, -2.6, Rheinland-Pfalz, 7, -0.0445, 4.2
2020-05-10, -2.2, Rheinland-Pfalz, 7, -0.0371, 4.4
2020-05-11, -1.1, Rheinland-Pfalz, 7, -0.0185, 4.7
2020-05-12, -1, Rheinland-Pfalz, 7, -0.0165, 4.5
2020-05-13, -1.3, Rheinland-Pfalz, 7, -0.0214, 4.3
2020-05-14, -0.3, Rheinland-Pfalz, 7, -0.0049, 4.5
2020-05-15, -0.2, Rheinland-Pfalz, 7, -0.0041, 4.3
2020-05-16, 0.4, Rheinland-Pfalz, 7, 0.0091, 4.6
2020-05-17, -0.2, Rheinland-Pfalz, 7, -0.0041, 4.1
2020-05-18, -0.6, Rheinland-Pfalz, 7, -0.0095, 4.2
2020-05-19, -0.3, Rheinland-Pfalz, 7, -0.0058, 4.2
2020-05-20, , Rheinland-Pfalz, 7, -0.0008, 4.2
2020-05-21, -0.5, Rheinland-Pfalz, 7, -0.0082, 4
2020-05-22, -0.9, Rheinland-Pfalz, 7, -0.0152, 3.4
2020-05-23, -1.7, Rheinland-Pfalz, 7, -0.0292, 2.8
2020-05-24, -1.4, Rheinland-Pfalz, 7, -0.0231, 2.8
2020-05-25, -1.8, Rheinland-Pfalz, 7, -0.0305, 2.4
2020-05-26, -2, Rheinland-Pfalz, 7, -0.0338, 2.2
2020-05-27, -1.6, Rheinland-Pfalz, 7, -0.0268, 2.6
2020-05-28, -1.6, Rheinland-Pfalz, 7, -0.0268, 2.4
2020-05-29, -1, Rheinland-Pfalz, 7, -0.0161, 2.4
2020-05-30, -0.2, Rheinland-Pfalz, 7, -0.0041, 2.6
2020-05-31, -0.1, Rheinland-Pfalz, 7, -0.0012, 2.7
2020-06-01, 0.3, Rheinland-Pfalz, 7, 0.0068, 2.7
2020-06-02, 0.3, Rheinland-Pfalz, 7, 0.0068, 2.5
2020-06-03, -1, Rheinland-Pfalz, 7, -0.0161, 1.7
2020-06-04, -0.9, Rheinland-Pfalz, 7, -0.0148, 1.5
2020-06-05, -0.4, Rheinland-Pfalz, 7, -0.0074, 2
2020-06-06, -0.5, Rheinland-Pfalz, 7, -0.0082, 2.1
2020-06-07, -0.7, Rheinland-Pfalz, 7, -0.0111, 2
2020-06-08, -0.6, Rheinland-Pfalz, 7, -0.0103, 2.1
2020-06-09, -0.1, Rheinland-Pfalz, 7, -0.0021, 2.3
2020-06-10, 0.9, Rheinland-Pfalz, 7, 0.0209, 2.6
2020-06-11, 0.9, Rheinland-Pfalz, 7, 0.0198, 2.4
2020-06-12, -0.3, Rheinland-Pfalz, 7, -0.0049, 1.7
2020-06-13, -0.7, Rheinland-Pfalz, 7, -0.0111, 1.4
2020-06-14, -0.8, Rheinland-Pfalz, 7, -0.0128, 1.3
2020-06-15, -0.7, Rheinland-Pfalz, 7, -0.0124, 1.3
2020-06-16, -1.2, Rheinland-Pfalz, 7, -0.0198, 1.2
2020-06-17, -1.5, Rheinland-Pfalz, 7, -0.0251, 1.1
2020-06-18, -1.1, Rheinland-Pfalz, 7, -0.0177, 1.3
2020-06-19, -0.1, Rheinland-Pfalz, 7, -0.0016, 1.6
2020-06-20, 0.2, Rheinland-Pfalz, 7, 0.004, 1.6
2020-06-21, 0.6, Rheinland-Pfalz, 7, 0.013, 1.8
2020-06-22, 0.5, Rheinland-Pfalz, 7, 0.0108, 1.8
2020-06-23, 0.5, Rheinland-Pfalz, 7, 0.0119, 1.7
2020-06-24, 0.7, Rheinland-Pfalz, 7, 0.017, 1.8
2020-06-25, 0.2, Rheinland-Pfalz, 7, 0.0057, 1.6
2020-06-26, , Rheinland-Pfalz, 7, -0.0008, 1.6
2020-06-27, 0.1, Rheinland-Pfalz, 7, 0.0017, 1.7
2020-06-28, -0.1, Rheinland-Pfalz, 7, -0.0025, 1.7
2020-06-29, , Rheinland-Pfalz, 7, 0.0011, 1.8
2020-06-30, 0.4, Rheinland-Pfalz, 7, 0.0091, 2.1
2020-07-01, 0.5, Rheinland-Pfalz, 7, 0.0119, 2.3
2020-07-02, 1.3, Rheinland-Pfalz, 7, 0.03, 2.9
2020-07-03, 1.1, Rheinland-Pfalz, 7, 0.0266, 2.7
2020-07-04, 0.8, Rheinland-Pfalz, 7, 0.0192, 2.5
2020-07-05, 0.8, Rheinland-Pfalz, 7, 0.0181, 2.5
2020-07-06, 0.5, Rheinland-Pfalz, 7, 0.0113, 2.3
2020-07-07, 0.1, Rheinland-Pfalz, 7, 0.0017, 2.1
2020-07-08, -0.7, Rheinland-Pfalz, 7, -0.0111, 1.7
2020-07-09, -1.6, Rheinland-Pfalz, 7, -0.0272, 1.2
2020-07-10, -1.2, Rheinland-Pfalz, 7, -0.0202, 1.5
2020-07-11, -0.8, Rheinland-Pfalz, 7, -0.0132, 1.7
2020-07-12, -0.4, Rheinland-Pfalz, 7, -0.0066, 2.1
2020-07-13, 0.1, Rheinland-Pfalz, 7, 0.0023, 2.4
2020-07-14, 0.8, Rheinland-Pfalz, 7, 0.0181, 2.9
2020-07-15, 1.7, Rheinland-Pfalz, 7, 0.0385, 3.3
2020-07-16, 2.3, Rheinland-Pfalz, 7, 0.0538, 3.6
2020-07-17, 2.3, Rheinland-Pfalz, 7, 0.0538, 3.8
2020-07-18, 2, Rheinland-Pfalz, 7, 0.0458, 3.7
2020-07-19, 1.4, Rheinland-Pfalz, 7, 0.0334, 3.5
2020-07-20, 1.1, Rheinland-Pfalz, 7, 0.0243, 3.5
2020-07-21, 0.3, Rheinland-Pfalz, 7, 0.0079, 3.3
2020-07-22, -0.2, Rheinland-Pfalz, 7, -0.0037, 3.1
2020-07-23, -0.4, Rheinland-Pfalz, 7, -0.0066, 3.2
2020-07-24, -1.1, Rheinland-Pfalz, 7, -0.0189, 2.7
2020-07-25, -0.9, Rheinland-Pfalz, 7, -0.0152, 2.8
2020-07-26, -0.7, Rheinland-Pfalz, 7, -0.0111, 2.9
2020-07-27, -0.9, Rheinland-Pfalz, 7, -0.0152, 2.6
2020-07-28, -0.8, Rheinland-Pfalz, 7, -0.0136, 2.5
2020-07-29, -0.4, Rheinland-Pfalz, 7, -0.007, 2.7
2020-07-30, -0.6, Rheinland-Pfalz, 7, -0.0099, 2.6
2020-07-31, 0.2, Rheinland-Pfalz, 7, 0.0057, 3
2020-08-01, , Rheinland-Pfalz, 7, 0.0011, 2.9
2020-08-02, , Rheinland-Pfalz, 7, -0.0004, 2.8
2020-08-03, 0.4, Rheinland-Pfalz, 7, 0.0091, 3
2020-08-04, 1.1, Rheinland-Pfalz, 7, 0.0266, 3.6
2020-08-05, 1, Rheinland-Pfalz, 7, 0.0238, 3.7
2020-08-06, 2, Rheinland-Pfalz, 7, 0.0453, 4.5
2020-08-07, 1.7, Rheinland-Pfalz, 7, 0.0402, 4.7
2020-08-08, 3, Rheinland-Pfalz, 7, 0.069, 5.8
2020-08-09, 4, Rheinland-Pfalz, 7, 0.0917, 6.8
2020-08-10, 4, Rheinland-Pfalz, 7, 0.0928, 7
2020-08-11, 3.6, Rheinland-Pfalz, 7, 0.0843, 7.3
2020-08-12, 3.9, Rheinland-Pfalz, 7, 0.0905, 7.6
2020-08-13, 3.1, Rheinland-Pfalz, 7, 0.0707, 7.6
2020-08-14, 4.1, Rheinland-Pfalz, 7, 0.0951, 8.8
2020-08-15, 3, Rheinland-Pfalz, 7, 0.069, 8.8
2020-08-16, 1.6, Rheinland-Pfalz, 7, 0.0362, 8.4
2020-08-17, 1.9, Rheinland-Pfalz, 7, 0.043, 8.8
2020-08-18, 2.6, Rheinland-Pfalz, 7, 0.0606, 9.9
2020-08-19, 2.9, Rheinland-Pfalz, 7, 0.0679, 10.6
2020-08-20, 4.1, Rheinland-Pfalz, 7, 0.0956, 11.7
2020-08-21, 2.4, Rheinland-Pfalz, 7, 0.0555, 11.2
2020-08-22, 2.8, Rheinland-Pfalz, 7, 0.0645, 11.6
2020-08-23, 3.6, Rheinland-Pfalz, 7, 0.0843, 12
2020-08-24, 2.9, Rheinland-Pfalz, 7, 0.0679, 11.7
2020-08-25, 0.9, Rheinland-Pfalz, 7, 0.0209, 10.8
