Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Baden-Württemberg, 8, , 0.2703
2020-03-07, , Baden-Württemberg, 8, , 0.2973
2020-03-08, , Baden-Württemberg, 8, , 0.3333
2020-03-09, , Baden-Württemberg, 8, , 0.3423
2020-03-10, , Baden-Württemberg, 8, , 0.3513
2020-03-11, , Baden-Württemberg, 8, , 0.3423
2020-03-12, 0.1441, Baden-Württemberg, 8, 0.0865, 0.3694
2020-03-13, 0.1802, Baden-Württemberg, 8, 0.1081, 0.3874
2020-03-14, 0.2162, Baden-Württemberg, 8, 0.1297, 0.5135
2020-03-15, 0.1531, Baden-Württemberg, 8, 0.0919, 0.6486
2020-03-16, 0.2883, Baden-Württemberg, 8, 0.173, 0.7838
2020-03-17, 0.3784, Baden-Württemberg, 8, 0.227, 1.1982
2020-03-18, 0.3423, Baden-Württemberg, 8, 0.2054, 1.5585
2020-03-19, 0.4504, Baden-Württemberg, 8, 0.2703, 2.1531
2020-03-20, 0.6847, Baden-Württemberg, 8, 0.4108, 2.7296
2020-03-21, 1.1081, Baden-Württemberg, 8, 0.6649, 3.4143
2020-03-22, 1.1621, Baden-Württemberg, 8, 0.6973, 3.9098
2020-03-23, 0.9369, Baden-Württemberg, 8, 0.5622, 4.5404
2020-03-24, 1.5405, Baden-Württemberg, 8, 0.9243, 5.162
2020-03-25, 1.8198, Baden-Württemberg, 8, 1.0919, 6.3601
2020-03-26, 2.072, Baden-Württemberg, 8, 1.2432, 7.3601
2020-03-27, 2.063, Baden-Württemberg, 8, 1.2378, 8.6033
2020-03-28, 2.5495, Baden-Württemberg, 8, 1.5297, 9.6213
2020-03-29, 2.1441, Baden-Württemberg, 8, 1.2865, 10.7113
2020-03-30, 2.8648, Baden-Württemberg, 8, 1.7189, 11.1257
2020-03-31, 3.3873, Baden-Württemberg, 8, 2.0324, 12.0356
2020-04-01, 3.6125, Baden-Württemberg, 8, 2.1676, 12.423
2020-04-02, 3.5494, Baden-Württemberg, 8, 2.1297, 12.7293
2020-04-03, 3.5674, Baden-Württemberg, 8, 2.1405, 12.6122
2020-04-04, 2.2432, Baden-Württemberg, 8, 1.3459, 12.6212
2020-04-05, 3.0539, Baden-Württemberg, 8, 1.8324, 12.1888
2020-04-06, 2.2702, Baden-Württemberg, 8, 1.3622, 11.7744
2020-04-07, 0.6576, Baden-Württemberg, 8, 0.3946, 10.9636
2020-04-08, -0.4324, Baden-Württemberg, 8, -0.2096, 10.4231
2020-04-09, -0.991, Baden-Württemberg, 8, -0.4803, 9.8285
2020-04-10, -1.6486, Baden-Württemberg, 8, -0.7991, 9.3961
2020-04-11, -1.3423, Baden-Württemberg, 8, -0.6507, 8.4682
2020-04-12, -2.3333, Baden-Württemberg, 8, -1.131, 7.9907
2020-04-13, -2.2972, Baden-Württemberg, 8, -1.1135, 7.8826
2020-04-14, -2.3333, Baden-Württemberg, 8, -1.131, 7.4412
2020-04-15, -2.3603, Baden-Württemberg, 8, -1.1441, 6.6574
2020-04-16, -2.4774, Baden-Württemberg, 8, -1.2009, 6.4682
2020-04-17, -2.1711, Baden-Württemberg, 8, -1.0524, 6.1079
2020-04-18, -2.081, Baden-Württemberg, 8, -1.0087, 5.9007
2020-04-19, -1.3963, Baden-Württemberg, 8, -0.6769, 5.7295
2020-04-20, -1.4774, Baden-Württemberg, 8, -0.7162, 5.4232
2020-04-21, -1.027, Baden-Württemberg, 8, -0.4978, 5.153
2020-04-22, -0.6216, Baden-Württemberg, 8, -0.3013, 5.1169
2020-04-23, -0.4144, Baden-Württemberg, 8, -0.2009, 4.5854
2020-04-24, -0.6216, Baden-Württemberg, 8, -0.3013, 4.0359
2020-04-25, -0.8919, Baden-Württemberg, 8, -0.4323, 3.8197
2020-04-26, -0.9459, Baden-Württemberg, 8, -0.4585, 3.5224
2020-04-27, -0.8198, Baden-Württemberg, 8, -0.3974, 3.3873
2020-04-28, -0.9099, Baden-Württemberg, 8, -0.441, 3.2251
2020-04-29, -0.8018, Baden-Württemberg, 8, -0.3886, 2.9729
2020-04-30, -0.8198, Baden-Württemberg, 8, -0.3974, 2.6846
2020-05-01, -0.4685, Baden-Württemberg, 8, -0.2271, 2.5765
2020-05-02, -0.3333, Baden-Württemberg, 8, -0.1616, 2.2702
2020-05-03, -0.5585, Baden-Württemberg, 8, -0.2707, 2.036
2020-05-04, -0.5766, Baden-Württemberg, 8, -0.2795, 1.9369
2020-05-05, -0.6576, Baden-Württemberg, 8, -0.3188, 1.7657
2020-05-06, -0.7838, Baden-Württemberg, 8, -0.3799, 1.5675
2020-05-07, -0.6847, Baden-Württemberg, 8, -0.3319, 1.3873
2020-05-08, -0.8378, Baden-Württemberg, 8, -0.4061, 1.3153
2020-05-09, -0.6757, Baden-Württemberg, 8, -0.3275, 1.3333
2020-05-10, -0.5675, Baden-Württemberg, 8, -0.2751, 1.3423
2020-05-11, -0.5495, Baden-Württemberg, 8, -0.2664, 1.2882
2020-05-12, -0.3874, Baden-Württemberg, 8, -0.1878, 1.3153
2020-05-13, -0.0901, Baden-Württemberg, 8, -0.0437, 1.2973
2020-05-14, -0.0541, Baden-Württemberg, 8, -0.0262, 1.2792
2020-05-15, -0.0541, Baden-Württemberg, 8, -0.0262, 1.1351
2020-05-16, -0.1441, Baden-Württemberg, 8, -0.0699, 1.036
2020-05-17, -0.1712, Baden-Württemberg, 8, -0.083, 0.9279
2020-05-18, -0.1441, Baden-Württemberg, 8, -0.0699, 0.9009
2020-05-19, -0.2432, Baden-Württemberg, 8, -0.1179, 0.8378
2020-05-20, -0.2973, Baden-Württemberg, 8, -0.1441, 0.8198
2020-05-21, -0.3874, Baden-Württemberg, 8, -0.1878, 0.7838
2020-05-22, -0.4144, Baden-Württemberg, 8, -0.2009, 0.7117
2020-05-23, -0.2883, Baden-Württemberg, 8, -0.1397, 0.6757
2020-05-24, -0.2252, Baden-Württemberg, 8, -0.1092, 0.7207
2020-05-25, -0.1712, Baden-Württemberg, 8, -0.083, 0.7297
2020-05-26, -0.1351, Baden-Württemberg, 8, -0.0655, 0.6937
2020-05-27, -0.1622, Baden-Württemberg, 8, -0.0786, 0.5766
2020-05-28, -0.1171, Baden-Württemberg, 8, -0.0568, 0.5225
2020-05-29, 0.0541, Baden-Württemberg, 8, 0.0324, 0.6306
2020-05-30, -0.0631, Baden-Württemberg, 8, -0.0306, 0.5946
2020-05-31, -0.1441, Baden-Württemberg, 8, -0.0699, 0.5315
2020-06-01, -0.0721, Baden-Württemberg, 8, -0.0349, 0.4955
2020-06-02, -0.0541, Baden-Württemberg, 8, -0.0262, 0.4324
2020-06-03, -0.0811, Baden-Württemberg, 8, -0.0393, 0.4144
2020-06-04, -0.0631, Baden-Württemberg, 8, -0.0306, 0.4324
2020-06-05, -0.1441, Baden-Württemberg, 8, -0.0699, 0.3513
2020-06-06, -0.0991, Baden-Württemberg, 8, -0.048, 0.3153
2020-06-07, -0.018, Baden-Württemberg, 8, -0.0087, 0.3153
2020-06-08, -0.0901, Baden-Württemberg, 8, -0.0437, 0.3153
2020-06-09, -0.027, Baden-Württemberg, 8, -0.0131, 0.3333
2020-06-10, , Baden-Württemberg, 8, , 0.3243
2020-06-11, -0.0631, Baden-Württemberg, 8, -0.0306, 0.2883
2020-06-12, -0.0811, Baden-Württemberg, 8, -0.0393, 0.2613
2020-06-13, -0.045, Baden-Württemberg, 8, -0.0218, 0.3333
2020-06-14, -0.0631, Baden-Württemberg, 8, -0.0306, 0.2973
2020-06-15, -0.1081, Baden-Württemberg, 8, -0.0524, 0.2793
2020-06-16, -0.0901, Baden-Württemberg, 8, -0.0437, 0.2703
2020-06-17, -0.0541, Baden-Württemberg, 8, -0.0262, 0.3063
2020-06-18, 0.036, Baden-Württemberg, 8, 0.0216, 0.2703
2020-06-19, 0.045, Baden-Württemberg, 8, 0.027, 0.2522
2020-06-20, -0.0721, Baden-Württemberg, 8, -0.0349, 0.1441
2020-06-21, -0.045, Baden-Württemberg, 8, -0.0218, 0.1892
2020-06-22, -0.027, Baden-Württemberg, 8, -0.0131, 0.2522
2020-06-23, 0.027, Baden-Württemberg, 8, 0.0162, 0.2973
2020-06-24, 0.009, Baden-Württemberg, 8, 0.0054, 0.3243
2020-06-25, 0.018, Baden-Württemberg, 8, 0.0108, 0.3694
2020-06-26, 0.1171, Baden-Württemberg, 8, 0.0703, 0.4594
2020-06-27, 0.3243, Baden-Württemberg, 8, 0.1946, 0.5495
2020-06-28, 0.2883, Baden-Württemberg, 8, 0.173, 0.5405
2020-06-29, 0.2342, Baden-Württemberg, 8, 0.1405, 0.4865
2020-06-30, 0.1712, Baden-Württemberg, 8, 0.1027, 0.4594
2020-07-01, 0.1261, Baden-Württemberg, 8, 0.0757, 0.4144
2020-07-02, 0.0811, Baden-Württemberg, 8, 0.0486, 0.4054
2020-07-03, -0.1261, Baden-Württemberg, 8, -0.0611, 0.3243
2020-07-04, -0.2703, Baden-Württemberg, 8, -0.131, 0.2973
2020-07-05, -0.2703, Baden-Württemberg, 8, -0.131, 0.3063
2020-07-06, -0.2252, Baden-Württemberg, 8, -0.1092, 0.3063
2020-07-07, -0.1802, Baden-Württemberg, 8, -0.0873, 0.3063
2020-07-08, -0.1622, Baden-Württemberg, 8, -0.0786, 0.3153
2020-07-09, -0.1351, Baden-Württemberg, 8, -0.0655, 0.3063
2020-07-10, , Baden-Württemberg, 8, , 0.3153
2020-07-11, 0.027, Baden-Württemberg, 8, 0.0162, 0.2703
2020-07-12, 0.027, Baden-Württemberg, 8, 0.0162, 0.2613
2020-07-13, 0.027, Baden-Württemberg, 8, 0.0162, 0.2522
2020-07-14, -0.036, Baden-Württemberg, 8, -0.0175, 0.2613
2020-07-15, -0.0721, Baden-Württemberg, 8, -0.0349, 0.2883
2020-07-16, -0.036, Baden-Württemberg, 8, -0.0175, 0.3153
2020-07-17, -0.027, Baden-Württemberg, 8, -0.0131, 0.2883
2020-07-18, -0.027, Baden-Württemberg, 8, -0.0131, 0.2973
2020-07-19, -0.009, Baden-Württemberg, 8, -0.0044, 0.2883
2020-07-20, , Baden-Württemberg, 8, , 0.3513
2020-07-21, 0.0901, Baden-Württemberg, 8, 0.0541, 0.3694
2020-07-22, 0.1261, Baden-Württemberg, 8, 0.0757, 0.3513
2020-07-23, 0.0541, Baden-Württemberg, 8, 0.0324, 0.3513
2020-07-24, 0.1081, Baden-Württemberg, 8, 0.0649, 0.3874
2020-07-25, 0.0811, Baden-Württemberg, 8, 0.0486, 0.3874
2020-07-26, 0.0811, Baden-Württemberg, 8, 0.0486, 0.4144
2020-07-27, 0.036, Baden-Württemberg, 8, 0.0216, 0.3513
2020-07-28, -0.0721, Baden-Württemberg, 8, -0.0349, 0.3784
2020-07-29, -0.0541, Baden-Württemberg, 8, -0.0262, 0.3513
2020-07-30, -0.0541, Baden-Württemberg, 8, -0.0262, 0.3423
2020-07-31, -0.0811, Baden-Württemberg, 8, -0.0393, 0.3243
2020-08-01, -0.0631, Baden-Württemberg, 8, -0.0306, 0.3153
2020-08-02, -0.0901, Baden-Württemberg, 8, -0.0437, 0.3153
2020-08-03, -0.036, Baden-Württemberg, 8, -0.0175, 0.3333
2020-08-04, 0.009, Baden-Württemberg, 8, 0.0054, 0.2703
2020-08-05, 0.009, Baden-Württemberg, 8, 0.0054, 0.3063
2020-08-06, 0.018, Baden-Württemberg, 8, 0.0108, 0.2703
2020-08-07, -0.018, Baden-Württemberg, 8, -0.0087, 0.2793
2020-08-08, , Baden-Württemberg, 8, , 0.3333
2020-08-09, , Baden-Württemberg, 8, , 0.3063
2020-08-10, -0.009, Baden-Württemberg, 8, -0.0044, 0.3153
2020-08-11, , Baden-Württemberg, 8, , 0.3153
2020-08-12, , Baden-Württemberg, 8, , 0.2793
2020-08-13, 0.0901, Baden-Württemberg, 8, 0.0541, 0.3063
2020-08-14, 0.0811, Baden-Württemberg, 8, 0.0486, 0.3423
2020-08-15, 0.045, Baden-Württemberg, 8, 0.027, 0.3603
2020-08-16, 0.0721, Baden-Württemberg, 8, 0.0432, 0.3423
2020-08-17, 0.0631, Baden-Württemberg, 8, 0.0378, 0.3243
2020-08-18, 0.027, Baden-Württemberg, 8, 0.0162, 0.4054
2020-08-19, 0.0541, Baden-Württemberg, 8, 0.0324, 0.4685
2020-08-20, -0.027, Baden-Württemberg, 8, -0.0131, 0.4594
2020-08-21, 0.018, Baden-Württemberg, 8, 0.0108, 0.4685
